epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,89.1845,1.52485,2.09914,0.00494,0.03703,0.58774,0.44774,0.43558,0.32039,1.09929,1.26122,0.00548,0.01947,0.000198718,0.000198718,0.0803269
2,173.341,1.27596,1.23976,0.00428,0.02429,0.71109,0.63774,0.64463,0.48467,1.01942,0.93745,0.00511,0.01608,0.000398694,0.000398694,0.0605269
3,260.291,1.19656,1.09305,0.0041,0.01979,0.74774,0.70184,0.711,0.54635,0.9852,0.85918,0.00506,0.01309,0.000598572,0.000598572,0.0407268
4,344.46,1.14022,0.97139,0.00404,0.01762,0.79439,0.72039,0.74755,0.58677,0.9851,0.7848,0.00498,0.01071,0.000798279,0.000798279,0.0209265
5,430.061,1.1131,0.89137,0.00388,0.0164,0.82388,0.75434,0.78684,0.62671,0.92144,0.68902,0.00489,0.0105,0.000997742,0.000997742,0.00112595
6,514.453,1.09427,0.88502,0.00395,0.01601,0.85287,0.76942,0.79849,0.64014,0.90153,0.70841,0.00482,0.01074,0.000998474,0.000998474,0.000998474
7,600.274,1.08402,0.86739,0.00389,0.01521,0.86408,0.79265,0.8174,0.66769,0.87447,0.66178,0.00479,0.01122,0.000997803,0.000997803,0.000997803
8,684.867,1.06663,0.83352,0.00395,0.01551,0.8752,0.78762,0.8195,0.66897,0.86955,0.61245,0.00483,0.00989,0.000997011,0.000997011,0.000997011
9,770.231,1.06087,0.81873,0.00389,0.0144,0.88213,0.80385,0.83318,0.6837,0.87603,0.59895,0.0049,0.01043,0.000996097,0.000996097,0.000996097
10,856.144,1.05628,0.79731,0.00383,0.01447,0.8685,0.8043,0.82166,0.67794,0.86667,0.62621,0.00482,0.00966,0.000995062,0.000995062,0.000995062
11,940.541,1.04453,0.78125,0.00382,0.01415,0.859,0.8136,0.82855,0.68557,0.87456,0.60811,0.00489,0.00952,0.000993906,0.000993906,0.000993906
12,1026.48,1.03739,0.77133,0.00381,0.01335,0.87873,0.82098,0.83543,0.6981,0.83627,0.59441,0.00474,0.00781,0.000992629,0.000992629,0.000992629
13,1114.11,1.02318,0.74944,0.0038,0.01293,0.89582,0.80554,0.83519,0.69113,0.89511,0.62918,0.00483,0.01233,0.000991232,0.000991232,0.000991232
14,1199.56,1.02427,0.73661,0.00382,0.01265,0.89095,0.8372,0.84853,0.7111,0.83513,0.57301,0.00477,0.00759,0.000989715,0.000989715,0.000989715
15,1284.61,1.02845,0.75285,0.00377,0.01196,0.9193,0.82531,0.85481,0.72153,0.82758,0.54501,0.00473,0.00723,0.000988079,0.000988079,0.000988079
16,1368.16,1.00578,0.70622,0.00376,0.01243,0.90148,0.82446,0.85724,0.72039,0.83753,0.55887,0.00475,0.00761,0.000986323,0.000986323,0.000986323
17,1453.61,1.01166,0.73527,0.00377,0.01248,0.91229,0.83835,0.85416,0.7209,0.83239,0.56349,0.00472,0.00662,0.000984449,0.000984449,0.000984449
