epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,78.7702,1.47016,1.89773,0.00476,0.03568,0.56644,0.53557,0.51098,0.37366,1.06276,1.21596,0.00529,0.01771,0.000199248,0.000199248,0.0802744
2,156.418,1.24357,1.18472,0.00421,0.02396,0.73077,0.63263,0.65314,0.49522,1.01584,0.93564,0.00513,0.02274,0.000399224,0.000399224,0.0604744
3,233.783,1.17607,1.04143,0.0041,0.01914,0.77268,0.70218,0.73599,0.57566,0.93814,0.7702,0.00506,0.01371,0.000599102,0.000599102,0.0406743
4,311.242,1.1353,0.94114,0.00402,0.01671,0.81722,0.7429,0.75688,0.60547,0.91667,0.73452,0.00504,0.01069,0.000798809,0.000798809,0.020874
5,389.427,1.12681,0.93123,0.00401,0.01962,0.83102,0.75377,0.79299,0.63877,0.90271,0.71191,0.00502,0.0116,0.000998272,0.000998272,0.00107346
6,466.885,1.08919,0.86964,0.00396,0.01644,0.82721,0.77291,0.78967,0.63542,0.91558,0.70605,0.00507,0.01084,0.000998474,0.000998474,0.000998474
7,544.191,1.08979,0.88102,0.00395,0.01503,0.86224,0.757,0.79507,0.64199,0.90795,0.64548,0.00504,0.01397,0.000997803,0.000997803,0.000997803
8,621.323,1.08061,0.8597,0.00397,0.0153,0.849,0.78132,0.81156,0.66182,0.90486,0.69749,0.00507,0.01139,0.000997011,0.000997011,0.000997011
9,698.827,1.05682,0.8217,0.00394,0.01493,0.87599,0.79989,0.83099,0.6806,0.89471,0.63713,0.00507,0.01129,0.000996097,0.000996097,0.000996097
10,777.549,1.06419,0.82099,0.00391,0.01401,0.8827,0.78636,0.82794,0.68527,0.86449,0.67804,0.00498,0.01003,0.000995062,0.000995062,0.000995062
11,855.795,1.05432,0.79711,0.00388,0.01411,0.8858,0.79815,0.83203,0.68824,0.87921,0.62764,0.00499,0.0098,0.000993906,0.000993906,0.000993906
12,934.14,1.04978,0.7943,0.0038,0.01367,0.8843,0.81781,0.84339,0.70483,0.85211,0.62991,0.00494,0.00831,0.000992629,0.000992629,0.000992629
13,1012.54,1.04184,0.7555,0.00386,0.01312,0.8995,0.81335,0.83749,0.70229,0.84176,0.59499,0.00492,0.00816,0.000991232,0.000991232,0.000991232
14,1091.06,1.01694,0.74218,0.00384,0.01353,0.92011,0.81913,0.85315,0.71528,0.83914,0.57285,0.0049,0.00756,0.000989715,0.000989715,0.000989715
15,1168.36,1.03287,0.76975,0.00385,0.01256,0.89682,0.81995,0.83722,0.69921,0.84876,0.59443,0.00491,0.00928,0.000988079,0.000988079,0.000988079
16,1246.29,1.02442,0.74323,0.0038,0.01244,0.90992,0.82859,0.86201,0.72001,0.85301,0.56487,0.0049,0.01271,0.000986323,0.000986323,0.000986323
17,1324.08,1.00377,0.72992,0.00379,0.01203,0.90915,0.82756,0.85885,0.72688,0.8266,0.5725,0.00483,0.00745,0.000984449,0.000984449,0.000984449
18,1401.62,1.00541,0.72517,0.00382,0.01309,0.92199,0.81614,0.8538,0.7177,0.84509,0.56531,0.00492,0.01069,0.000982456,0.000982456,0.000982456
19,1479.38,0.99086,0.69607,0.00381,0.01242,0.90131,0.83473,0.84119,0.71069,0.84593,0.59511,0.00491,0.00737,0.000980345,0.000980345,0.000980345
20,1556.95,1.00492,0.71926,0.00381,0.01209,0.91502,0.83425,0.86692,0.73477,0.82155,0.55578,0.00482,0.00682,0.000978118,0.000978118,0.000978118
21,1635.45,1.00342,0.70705,0.00382,0.01182,0.91702,0.83545,0.86544,0.73401,0.8273,0.55158,0.00484,0.00702,0.000975773,0.000975773,0.000975773
22,1713.54,0.983,0.68323,0.00378,0.01205,0.92179,0.82307,0.8628,0.72822,0.83247,0.56181,0.00485,0.00732,0.000973312,0.000973312,0.000973312
23,1791.1,0.99534,0.71181,0.00381,0.0116,0.91773,0.82306,0.85578,0.72564,0.84074,0.58584,0.00485,0.01159,0.000970736,0.000970736,0.000970736
24,1868.42,0.97297,0.67298,0.00376,0.01144,0.91527,0.83182,0.85945,0.73319,0.80753,0.58726,0.00486,0.00639,0.000968045,0.000968045,0.000968045
25,1947.09,0.98287,0.67058,0.00374,0.01105,0.91066,0.84413,0.87117,0.73875,0.82394,0.56089,0.00481,0.0084,0.000965239,0.000965239,0.000965239
26,2024.43,0.99423,0.71086,0.00383,0.01125,0.91998,0.8472,0.85964,0.73252,0.81422,0.56187,0.00488,0.00696,0.00096232,0.00096232,0.00096232
27,2102.22,0.9795,0.67374,0.00376,0.01119,0.92221,0.85668,0.87352,0.74222,0.82142,0.54366,0.00488,0.00732,0.000959289,0.000959289,0.000959289
28,2179.69,0.97647,0.6675,0.00373,0.01154,0.9255,0.85916,0.87733,0.74826,0.81172,0.53056,0.00484,0.00719,0.000956145,0.000956145,0.000956145
29,2256.94,0.97245,0.67871,0.00371,0.01118,0.93506,0.84686,0.87432,0.74881,0.79982,0.51379,0.00482,0.00599,0.000952889,0.000952889,0.000952889
30,2334.72,0.96282,0.65016,0.00373,0.01069,0.91772,0.85303,0.87688,0.74692,0.8137,0.51811,0.00483,0.00742,0.000949524,0.000949524,0.000949524
31,2412.25,0.96369,0.63713,0.00375,0.01135,0.92789,0.85937,0.8765,0.75048,0.80883,0.5364,0.0048,0.00601,0.000946048,0.000946048,0.000946048
32,2490.64,0.98997,0.69042,0.00378,0.0111,0.93506,0.85466,0.87862,0.75173,0.81934,0.51958,0.00481,0.00623,0.000942464,0.000942464,0.000942464
33,2568.04,0.95279,0.65129,0.00377,0.01034,0.92794,0.86084,0.8745,0.7511,0.81546,0.52543,0.00485,0.00659,0.000938772,0.000938772,0.000938772
34,2646.52,0.9738,0.6661,0.00375,0.01057,0.92362,0.85725,0.87612,0.7534,0.805,0.52018,0.00486,0.00634,0.000934973,0.000934973,0.000934973
35,2724.75,0.95505,0.62988,0.00376,0.01031,0.921,0.83944,0.86091,0.73672,0.79625,0.59686,0.00483,0.00639,0.000931067,0.000931067,0.000931067
36,2802.68,0.95996,0.63653,0.00372,0.01115,0.93075,0.85703,0.87224,0.74735,0.81493,0.55902,0.00483,0.0064,0.000927057,0.000927057,0.000927057
37,2880.46,0.95384,0.64549,0.00373,0.01003,0.92734,0.85584,0.88036,0.75862,0.78665,0.51219,0.00476,0.00599,0.000922942,0.000922942,0.000922942
38,2958.09,0.94166,0.63763,0.00374,0.01023,0.92806,0.8483,0.8761,0.75028,0.80108,0.53121,0.00482,0.00683,0.000918725,0.000918725,0.000918725
39,3035.99,0.96131,0.65257,0.00378,0.01051,0.93122,0.85628,0.8762,0.75416,0.79375,0.52934,0.00484,0.00675,0.000914405,0.000914405,0.000914405
40,3114.42,0.93759,0.59996,0.00363,0.01008,0.93278,0.85248,0.87084,0.75337,0.78156,0.51881,0.00477,0.006,0.000909984,0.000909984,0.000909984
41,3192.55,0.95418,0.63616,0.00374,0.01014,0.93269,0.8628,0.88659,0.76439,0.79968,0.50554,0.00484,0.00581,0.000905463,0.000905463,0.000905463
42,3270.3,0.9266,0.60568,0.00369,0.00964,0.93331,0.8613,0.87616,0.75486,0.79151,0.54288,0.00479,0.00619,0.000900844,0.000900844,0.000900844
43,3346.96,0.94361,0.63253,0.00372,0.00993,0.92415,0.85697,0.87996,0.75928,0.79932,0.52498,0.00477,0.00608,0.000896127,0.000896127,0.000896127
44,3424.36,0.94292,0.6285,0.00375,0.01016,0.9321,0.85664,0.87106,0.74943,0.80069,0.53872,0.00484,0.00648,0.000891313,0.000891313,0.000891313
45,3502.35,0.93749,0.61455,0.00371,0.00963,0.93214,0.87072,0.87955,0.76002,0.78859,0.53122,0.00478,0.00594,0.000886404,0.000886404,0.000886404
