epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,97.8876,1.32948,1.88847,0.00513,0.02125,0.52639,0.42129,0.40385,0.28767,1.20983,1.21889,0.0056,0.01777,0.000198718,0.000198718,0.0803269
2,188.666,1.06241,1.02958,0.00429,0.01468,0.68111,0.54395,0.56384,0.41887,1.05158,1.06033,0.00512,0.01476,0.000398694,0.000398694,0.0605269
3,280.006,0.9959,0.92511,0.00412,0.01084,0.73897,0.70119,0.71153,0.56041,0.94219,0.83698,0.00503,0.00925,0.000598572,0.000598572,0.0407268
4,371.592,0.94991,0.80498,0.00402,0.00791,0.82088,0.71169,0.76465,0.60017,0.96716,0.7329,0.00488,0.00809,0.000798279,0.000798279,0.0209265
5,462.333,0.92793,0.74247,0.00399,0.00703,0.81903,0.7482,0.77477,0.62078,0.87784,0.72739,0.00481,0.00774,0.000997742,0.000997742,0.00112595
6,554.49,0.88717,0.68845,0.00394,0.00647,0.83591,0.74308,0.77533,0.62954,0.89101,0.75929,0.00481,0.00733,0.000998474,0.000998474,0.000998474
7,645.804,0.86288,0.65186,0.00388,0.00596,0.85879,0.78499,0.80736,0.66013,0.86949,0.66745,0.00488,0.00685,0.000997803,0.000997803,0.000997803
8,737.665,0.84759,0.60977,0.00384,0.00611,0.85852,0.78349,0.81628,0.67414,0.85219,0.66437,0.00477,0.00682,0.000997011,0.000997011,0.000997011
9,829.976,0.82798,0.57193,0.00383,0.00552,0.86428,0.78019,0.80138,0.66313,0.85054,0.7105,0.00485,0.00659,0.000996097,0.000996097,0.000996097
10,922.385,0.8276,0.5755,0.00383,0.0053,0.86514,0.79621,0.80855,0.6703,0.85047,0.70129,0.00478,0.00667,0.000995062,0.000995062,0.000995062
11,1014.65,0.82548,0.57989,0.00381,0.00518,0.8755,0.78285,0.81253,0.67396,0.85528,0.67236,0.00483,0.00619,0.000993906,0.000993906,0.000993906
12,1106.69,0.80582,0.55514,0.00379,0.00518,0.87267,0.83151,0.83848,0.70031,0.83563,0.64279,0.00478,0.0059,0.000992629,0.000992629,0.000992629
13,1197.24,0.79863,0.52096,0.00379,0.00489,0.87678,0.80357,0.80781,0.67046,0.85317,0.6926,0.00481,0.00576,0.000991232,0.000991232,0.000991232
14,1287.87,0.78989,0.51448,0.00377,0.00471,0.89764,0.80635,0.83733,0.69923,0.83326,0.62584,0.00477,0.0058,0.000989715,0.000989715,0.000989715
15,1378.56,0.79142,0.52178,0.00378,0.00469,0.87369,0.81791,0.82646,0.6905,0.83222,0.6451,0.00476,0.00616,0.000988079,0.000988079,0.000988079
16,1470.09,0.79116,0.52743,0.00377,0.00481,0.86654,0.79399,0.81483,0.67907,0.84415,0.69207,0.00473,0.00599,0.000986323,0.000986323,0.000986323
17,1561.65,0.78852,0.51613,0.00375,0.00471,0.88772,0.81775,0.83657,0.70261,0.82844,0.64043,0.00475,0.00583,0.000984449,0.000984449,0.000984449
18,1652.51,0.77198,0.49018,0.00374,0.00445,0.89305,0.82323,0.84055,0.70733,0.82909,0.63862,0.00475,0.0057,0.000982456,0.000982456,0.000982456
19,1742.64,0.75966,0.47564,0.00372,0.00413,0.88765,0.82348,0.83421,0.70219,0.82744,0.64141,0.00477,0.00545,0.000980345,0.000980345,0.000980345
20,1833.75,0.74775,0.45229,0.00372,0.00412,0.91176,0.83533,0.85135,0.72405,0.80688,0.62748,0.00472,0.00531,0.000978118,0.000978118,0.000978118
21,1925.46,0.72324,0.41978,0.00367,0.00378,0.91229,0.83257,0.84363,0.71511,0.80574,0.58875,0.00471,0.00495,0.000975773,0.000975773,0.000975773
22,2016.2,0.71803,0.41098,0.00366,0.00375,0.9127,0.84181,0.85109,0.72395,0.80216,0.60274,0.00474,0.00536,0.000973312,0.000973312,0.000973312
23,2106.83,0.69939,0.39965,0.00363,0.00365,0.91497,0.83484,0.85018,0.72259,0.80113,0.59254,0.00475,0.00502,0.000970736,0.000970736,0.000970736
77,93.9693,0.32782,0.13014,0.00313,0.00121,0.91335,0.83916,0.83141,0.70736,0.75445,0.59466,0.00464,0.00451,0.000687222,0.000687222,0.000687222
78,184.804,0.33062,0.13033,0.00315,0.00121,0.91422,0.84135,0.83614,0.7121,0.75438,0.57323,0.00464,0.00455,0.00067997,0.00067997,0.00067997
79,275.251,0.33014,0.13077,0.00313,0.00121,0.91252,0.84163,0.83173,0.7084,0.75178,0.58142,0.0046,0.00461,0.000672675,0.000672675,0.000672675
80,366.869,0.32132,0.12739,0.00312,0.00118,0.91234,0.83859,0.82856,0.70606,0.74524,0.57679,0.00461,0.00448,0.000665339,0.000665339,0.000665339
81,458.634,0.33263,0.13294,0.00315,0.00123,0.90169,0.84642,0.83478,0.70931,0.75248,0.59608,0.00464,0.00469,0.000657963,0.000657963,0.000657963
82,551.145,0.33267,0.13266,0.00316,0.00119,0.90401,0.84194,0.83193,0.70616,0.75872,0.60381,0.00462,0.00467,0.00065055,0.00065055,0.00065055
83,643.536,0.31605,0.12506,0.00314,0.00117,0.91777,0.83097,0.83075,0.70615,0.74616,0.57887,0.00462,0.00467,0.000643101,0.000643101,0.000643101
84,736.367,0.3136,0.12326,0.00312,0.00117,0.904,0.84552,0.83288,0.70775,0.75339,0.59747,0.00462,0.00464,0.000635617,0.000635617,0.000635617
85,828.693,0.31272,0.12211,0.00312,0.00114,0.90901,0.84055,0.83194,0.70748,0.74306,0.5827,0.00458,0.00461,0.000628101,0.000628101,0.000628101
86,922.01,0.30156,0.11683,0.0031,0.00109,0.91094,0.83824,0.82901,0.70663,0.74102,0.57357,0.00457,0.00458,0.000620555,0.000620555,0.000620555
87,1014.85,0.30252,0.11641,0.0031,0.00109,0.90229,0.84571,0.8316,0.71002,0.74313,0.57978,0.00458,0.00454,0.000612981,0.000612981,0.000612981
88,1106.47,0.29681,0.11441,0.0031,0.00107,0.90875,0.83982,0.8327,0.70896,0.74126,0.57865,0.00459,0.00466,0.00060538,0.00060538,0.00060538
89,1199.44,0.29458,0.11251,0.00309,0.00107,0.9173,0.83646,0.83373,0.70873,0.74311,0.57549,0.00459,0.00452,0.000597754,0.000597754,0.000597754
90,1292.58,0.28911,0.10925,0.00309,0.00104,0.91192,0.83364,0.82782,0.7057,0.73912,0.57688,0.00458,0.00454,0.000590105,0.000590105,0.000590105
91,1384.77,0.28412,0.10681,0.00309,0.001,0.91143,0.83833,0.82811,0.70488,0.73987,0.56763,0.0046,0.00459,0.000582435,0.000582435,0.000582435
92,1477.91,0.28011,0.10607,0.00308,0.00104,0.91976,0.82967,0.82591,0.70206,0.74021,0.5853,0.00457,0.00461,0.000574746,0.000574746,0.000574746
93,1570.47,0.2824,0.10761,0.00306,0.00101,0.90435,0.84222,0.82959,0.70591,0.7407,0.58133,0.00457,0.00459,0.00056704,0.00056704,0.00056704
94,1663.86,0.2766,0.10479,0.00307,0.00097,0.90822,0.83706,0.8272,0.70559,0.73159,0.56841,0.00455,0.00448,0.000559318,0.000559318,0.000559318
95,1757.32,0.27973,0.10628,0.00307,0.001,0.90844,0.83698,0.82859,0.70635,0.73623,0.57186,0.00458,0.00459,0.000551584,0.000551584,0.000551584
96,1848.96,0.2831,0.10719,0.00308,0.00103,0.91101,0.83919,0.82864,0.70638,0.73625,0.57347,0.00455,0.00459,0.000543837,0.000543837,0.000543837
97,1941.43,0.27755,0.10469,0.00308,0.00095,0.9202,0.83032,0.82794,0.70637,0.72891,0.55818,0.00454,0.00446,0.000536081,0.000536081,0.000536081
98,2034.43,0.27518,0.10264,0.00307,0.00094,0.91321,0.83867,0.82808,0.70535,0.73358,0.56115,0.00455,0.00454,0.000528318,0.000528318,0.000528318
99,2126.48,0.27212,0.10074,0.00305,0.00092,0.91915,0.83408,0.82773,0.70509,0.72803,0.56133,0.00453,0.00457,0.000520548,0.000520548,0.000520548
100,2219.3,0.26532,0.0983,0.00305,0.00092,0.91113,0.84001,0.8304,0.70528,0.73504,0.57129,0.00457,0.00456,0.000512775,0.000512775,0.000512775
